FeatureMethod,Preprocessing,Model,Approach,LatentVariables,RMSE,R2,Q2
RandomFrog,SNV,RF,PCA,,42.65695466450928,0.8590565457144802,-0.36071475298874844
RandomFrog,SNV,SVM,PCA,,100.20779278213872,0.22219951619953793,-0.7136178163277043
RandomFrog,SNV,ANN,PCA,,62.75752425446583,0.694931882893241,-0.46889473235770596
RandomFrog,SG,PLS,Full,3,84.96039327138189,0.44088873253426664,-0.3512574109183597
RandomFrog,SG,RF,Full,N/A,21.515700798704536,0.9641428135944509,0.15331625922995784
RandomFrog,SG,SVM,Full,N/A,111.64232566703699,0.034565162633185875,-0.7330177412010548
RandomFrog,SG,ANN,Full,N/A,101.2866907581196,0.2053608086077645,-0.7540469274099795
RandomFrog,SG,PLS,PCA,1,104.63612280741239,0.1519362612328259,-0.5793915174978004
RandomFrog,SG,RF,PCA,,69.0251924826409,0.6309540283356404,-0.2334731827238632
RandomFrog,SG,SVM,PCA,,105.49747333402861,0.1379164994984292,-0.7015287921676492
RandomFrog,SG,ANN,PCA,,108.96381142324623,0.08033472570722588,-0.781704882052521
RandomFrog,MSC,PLS,Full,4,82.15195398426887,0.4772416102392696,-0.43196622168531973
RandomFrog,MSC,RF,Full,N/A,23.346459640261845,0.9577810644397546,-0.3422636266408814
RandomFrog,MSC,SVM,Full,N/A,113.89761549755305,-0.004834367335581291,-0.6872472781875016
RandomFrog,MSC,ANN,Full,N/A,80.02073732592024,0.5040129769187572,-0.5994146220299632
RandomFrog,MSC,PLS,PCA,1,105.64769259153611,0.13545968724036173,-1.2641310641835695
RandomFrog,MSC,RF,PCA,,43.45428834742608,0.8537383393469036,-0.36347401781528377
RandomFrog,MSC,SVM,PCA,,100.26314107713755,0.22134006568318843,-0.7142561456366154
RandomFrog,MSC,ANN,PCA,,105.39823081586007,0.13953767758700497,-0.9397888287387075
RandomFrog,SNV+SG,PLS,Full,3,88.73062597479839,0.39016505461073103,-0.346467268498619
RandomFrog,SNV+SG,RF,Full,N/A,22.830389603620983,0.9596269218841007,-0.07512106774496008
RandomFrog,SNV+SG,SVM,Full,N/A,111.88660221617307,0.03033574348063406,-0.7509733980697411
RandomFrog,SNV+SG,ANN,Full,N/A,85.03166452185341,0.4399502888276493,-0.6232409342001692
RandomFrog,SNV+SG,PLS,PCA,1,104.16116192837738,0.15961779426992806,-0.586308468689942
RandomFrog,SNV+SG,RF,PCA,,79.4912513611954,0.5105550139560215,-0.2867014284458509
RandomFrog,SNV+SG,SVM,PCA,,107.96360189528389,0.0971409688108088,-0.8071116262481026
RandomFrog,SNV+SG,ANN,PCA,,104.14466119025164,0.15988403224342618,-0.5773163694777415
